,Domestic,LDN-NY,US,Non US
ccy_0,-0.0019062633895195497,-0.0010906517360476135,0.002971767998238057,2.0666689923568703e-05
ccy_1,-0.0028579332068053424,-0.0016199403294647695,0.0042633553433242405,-5.0473263460666975e-05
ccy_2,-0.0007267250913575849,-0.00040151557157864023,0.0011186771718394962,6.47567595378701e-06
ccy_3,-0.0015618336088688409,-0.0009060559660627274,0.002486975342830238,-4.819477782356451e-05
ccy_4,-0.00113786211847943,-0.0006615577354836767,0.0018086870485108483,-1.857835369890809e-05
ccy_5,-0.0009571880042997835,-0.000533464109756846,0.0015397312179509064,1.460543039482134e-05
ccy_6,-0.001232893485233558,-0.0007129684791332983,0.001968912557824288,-7.220819035699083e-06
ccy_7,-0.0016803229891365055,-0.0009757971460816921,0.0026364996534556616,-3.5994815621893413e-06
ccy_8,-0.0018474217463865978,-0.0009871544896431035,0.0028865882049768613,7.316760636061599e-06
ccy_9,-0.0022083467701754554,-0.0013174500670591767,0.003538961172054426,-2.9880341584375672e-05
